topic,term,beta
4,morrison,0.0014339402572969182
5,morrison,4.330902269019727e-4
1,61st,2.536874074464152e-4
2,61st,3.68968447016133e-4
3,61st,4.348670894183087e-5
4,61st,2.3073519278653727e-27
5,61st,5.11726107168213e-21
1,laidlaw,4.2859303247233733e-47
2,laidlaw,2.4496833940710624e-4
3,laidlaw,7.626473176577416e-78
4,laidlaw,3.1216825599866784e-114
5,laidlaw,9.93425117689846e-125
1,148th,8.886359240208365e-4
2,148th,5.140581478117971e-39
3,148th,2.5004427307543424e-28
4,148th,2.88823529719282e-16
5,148th,5.003299957662284e-4
1,lombard,5.9498033179239824e-5
2,lombard,0.00497827144012139
3,lombard,3.9799502074864987e-4
4,lombard,3.767269711940294e-32
5,lombard,5.977511555327647e-7
1,duke,4.21056836430013e-4
2,duke,4.4223009776993635e-9
3,duke,4.317761982760002e-28
4,duke,4.487306038331524e-4
5,duke,2.360861058911449e-27
1,taylors,3.0063101310246696e-28
2,taylors,2.581567534811169e-42
3,taylors,0.0018327565744827709
4,taylors,2.4920825493234948e-29
5,taylors,2.6981795321071155e-35
1,intersections,3.0003563251200814e-4
2,intersections,0.0023415546355609437
3,intersections,3.967340648454294e-20
4,intersections,6.914209373315121e-4
5,intersections,0.0014833495572404113
1,emerson,2.944813620508999e-4
2,emerson,3.915786172763102e-4
3,emerson,1.6140203444028454e-10
4,emerson,2.2959488446458894e-28
5,emerson,2.406730206516736e-4
1,12th,5.12769059033636e-5
2,12th,4.8689141467030616e-4
3,12th,4.2766980779006125e-14
4,12th,0.0017022822769112303
5,12th,2.6024410382642795e-12
1,bertha,3.480867865134765e-32
2,bertha,2.7007526810780207e-47
3,bertha,5.687865231153422e-4
4,bertha,3.6676767857942917e-25
5,bertha,5.170564452301637e-19
1,111th,4.327349715860936e-5
2,111th,6.9408047955586615e-05
3,111th,7.420081319424843e-24
4,111th,4.3139467654382474e-4
5,111th,6.073263148616275e-26
1,ivy,2.2965509521722472e-17
2,ivy,3.1567408742145473e-11
3,ivy,4.676289620054729e-20
4,ivy,3.989823253968687e-34
5,ivy,9.312707567487305e-4
1,tree,9.873114142128128e-15
2,tree,0.0040319069249963296
3,tree,0.0014466004444830998
4,tree,2.694793779988875e-7
5,tree,2.990138231368978e-8
1,block,0.0025522893244168438
2,block,0.0011475426251195714
3,block,0.0032647771784833557
4,block,0.002342726426216796
5,block,0.0019864447701014084
1,gravel,3.4781517255338388e-16
2,gravel,1.090786940529001e-6
3,gravel,0.0027761456159115057
4,gravel,2.4923939114758917e-11
